Plant,Help_Rank,Avoid_Rank
"""flower strips""",0.001089216206217168,
alfalfa,,0.006619408112557007
alliums,0.00993154957347444,0.018879520597836076
alliums (chives,0.001089216206217168,
alyssum,0.0024957475178392155,
amaranth,0.001089216206217168,
amaranth (amaranthus cruentus),0.001089216206217168,
and marigolds. dill,0.001089216206217168,
and potato,0.001089216206217168,
and rape.citation needed  beets,0.001089216206217168,
and sunflower.citation needed  spinach,0.001089216206217168,
angelica,0.0011949940325773317,
anise,0.0022242932508035477,
apples,0.003542785885361179,0.008259832771307034
apricot,,0.004135163338921178
aromatic herbs,,0.006767082439863016
aromatic plants,0.0021716169245002484,
aromatic plants or plants with many blossoms,0.001089216206217168,
asparagus,0.011438887441827665,0.01753430562184792
aster,0.0012743966240377684,0.004133193131689224
aster family flowers,0.001089216206217168,
aster flowers,,0.004133193131689224
atriplex,,0.006166385977986475
barley,0.001089216206217168,
basil,0.003188254479675973,0.009849758159050736
bay laurel,0.001089216206217168,
beans,0.04008516171257473,0.014245291577172206
beans peas,,0.004038039286829227
"beans, bush",0.006181731056808553,0.01658837492825844
"beans, fava",0.004064665406636158,
"beans, pole",0.004170925028516805,0.012865286265037638
bee balm,0.001089216206217168,
bee balm (monarda),0.001089216206217168,
beets,0.017868088235383103,0.010132489288170898
black walnut,,0.003799602031368419
black walnuts,,0.0037697282823520657
blackberries,0.001089216206217168,
blueberries,0.0063097615575071556,0.003799602031368419
borage,0.0011199158110928027,
bramble fruits,,0.004105038302626558
brassicas,0.03642769770431308,0.030888566978252922
broccoli,0.022260219808885325,
broccoli thyme,0.001089216206217168,
brussels sprouts,0.002937997316443319,0.004135163338921178
buckwheat,0.001089216206217168,
bush beans,0.004739448970615172,
cabbage,0.023694820064064266,0.009774998430038663
calendula,0.001089216206217168,
calendula/pot marigold,0.001089216206217168,
capsicum peppers,0.0019332483171234987,
caraway,0.0011199158110928027,0.003986644616302068
carrot,,0.0038093747485793304
carrots,0.015001859382688672,0.012933719870289736
carrots and african spider plants (cleome gynandra) together,0.001089216206217168,
carrots clover,0.001089216206217168,
catmint,0.0024957475178392155,
catnip,0.0011199158110928027,
cauliflower,0.00854451498038452,0.00909090909090909
cauliflowercitation needed,0.001089216206217168,
cedar,,0.004873608543950228
celery,0.020437679954963237,0.01955211215640954
cereals (e.g. corn,0.0045298788042379325,
chamomile,0.0013723187243584304,
chard,0.0024954682844794953,0.00909090909090909
chervil,0.0011199158110928027,0.004458450990833362
chili peppers,,0.003799602031368419
chinese cabbage,0.0020633339665715013,
chives,0.0021009762981370112,0.006170506177315656
chrysanthemums,,0.004105038302626558
cilantro,0.003542719726063919,
citation needed garlic,0.001089216206217168,
citation needed green onions with chinese cabbage.citation needed,0.001089216206217168,
citation needed lacy phacelia,0.001089216206217168,
citation needed mint,0.001089216206217168,
citation needed mints,0.001089216206217168,
citation needed okra,0.001089216206217168,
citation needed onions,0.001089216206217168,
citation needed peas,0.001089216206217168,
citation needed peppermint,0.001089216206217168,
citation needed redroot pigweed,0.001089216206217168,
citation needed rosemary,0.001089216206217168,
citation needed spurrey,0.001089216206217168,
citation needed squash,0.001089216206217168,
citation needed sunflower,0.001089216206217168,
citation needed thyme,0.001089216206217168,
citation needed tomatoes,0.001089216206217168,
clover,0.001089216206217168,
clovercitation needed,0.001089216206217168,
comfrey,0.001089216206217168,
common rue,,0.008868036705791666
coriander,0.003542719726063919,
corn,0.022185578878697754,0.008975250718136981
corn / maize,0.012790441656358448,0.007020247315868362
cosmos,0.001089216206217168,
cowpea,,0.004618994626440565
cress,,0.004213779819959624
crimson clover,0.001089216206217168,
cucumber,0.013575843940463779,0.006685232032976904
cucumbers,0.016375739633349182,0.009042243262384047
cucurbits,0.011358958280459349,0.004618994626440565
daffodils,0.001089216206217168,
daisies,0.001089216206217168,
dead nettle,0.001089216206217168,
delions,0.001089216206217168,
dewberries,0.001089216206217168,
dianthus,0.001089216206217168,
dill,0.0040327811389582495,0.012342440483710589
dry beans,,0.004183442444824952
echinacea,0.0012743966240377684,
eggplant,0.005197873306510805,0.004105038302626558
eggplant or aubergine,0.003238380190061841,
etc.),0.001089216206217168,0.006760884829278447
fava,0.0011118828832943459,
fennel,0.001334183095800045,0.009025500031272709
fenugreek,0.001089216206217168,
field mustard,0.001089216206217168,
flax,0.0011199158110928027,
foxglove,0.0012743966240377684,
fruit trees,0.006299888928269104,
garlic,0.0016720800559840148,0.00948987613130811
geraniums,0.001089216206217168,0.009701047486825288
gladiolas,,0.004394504196579045
gladiolus,,0.006878714128120077
gladioluscitation needed,,0.0038478462951773962
gourds,0.0012088024764896235,
grains,0.001089216206217168,
grapes,0.008295573860304991,0.013517379277578394
green beans,0.001089216206217168,
green onions,0.0020633339665715013,
hairy vetch,0.001089216206217168,
hedge mustard,,0.011184470048374522
horseradish,0.001089216206217168,
hyssop,0.0011199158110928027,0.004458450990833362
jimson weed,0.001089216206217168,
kale (cabbage,,0.004135163338921178
kale cabbage,,0.004135163338921178
knotweed,,0.011184470048374522
kohlrabi,0.008911987907679265,0.004097261300574142
lacy phacelia,0.001089216206217168,
lamb's quarters,0.001089216206217168,
larkspur,0.001089216206217168,
lavender,0.00271162754053545,
leek,0.00201511829532017,0.00909090909090909
leeks,0.0021641666079618626,0.00909090909090909
legumes,0.027666472682861196,0.010696371171925826
legumes (beans,0.001089216206217168,
lemon balm,0.001266540897998267,
lemon grass,0.0011199158110928027,
lentils,,0.006294852042842466
lettuce,0.04146967640571515,0.013411819894455534
lobelia,0.0024957475178392155,
lovage,0.0011199158110928027,0.00909090909090909
lupin,0.003253659982587107,0.006205693950084121
maize,0.01430811106491282,0.009824517062225481
malabar spinach,0.001089216206217168,
malting barleycitation needed,0.001089216206217168,
marigolds,0.003094993243046862,
marigolds (tagetes spp.),0.001089216206217168,
marjoram,0.0015048390947376064,
melons,0.0023896650575566504,0.004105038302626558
mint,0.001089216206217168,
mints,0.0011949940325773317,0.004105038302626558
mints (basil,0.001089216206217168,
mixture of chinese cabbage,0.001089216206217168,
mixture of mustard,0.001089216206217168,
morning glory,0.001089216206217168,
most brassicas,0.001089216206217168,
mustard,0.0013103373873419363,0.003989357853993632
mustards,0.001089216206217168,0.003989357853993632
nasturtiums,0.001089216206217168,0.00909090909090909
nasturtiumscitation needed,0.001089216206217168,
nightshades,0.00500932235914603,0.02547958893494532
nightshades (tomatoes,0.0019332483171234987,0.003989357853993632
oak trees,0.001089216206217168,
okra,0.054905935632943534,0.0073603965654307595
onion,0.014030437093414092,0.008908351015631963
onions,0.018336249610372946,0.011330294211940222
onions and potatoes. geraniums,0.001089216206217168,
onions crimson clover,0.001089216206217168,
oregano,0.0016360587286308188,
pac choi,0.001089216206217168,
pansy,0.003094993243046862,
parsley,0.010998213379833833,0.006888182743152488
parsnip,0.0011118828832943459,0.004111990332007959
passion fruit,0.01684205847453834,0.022983923471294916
peanuts,0.001089216206217168,
peas,0.011210656874236492,0.014027419202612168
peppermint,0.0012256936374529662,
peppers,0.02927179499071722,0.026086099462708463
petunias,0.0014280344319740855,
phacelia,0.001089216206217168,
pigweed,0.001089216206217168,
pine trees,0.001089216206217168,
pole beans,0.0017401434587167833,0.003989357853993632
potato,0.005844447889046423,0.025897264864358477
potatoes,0.01201139489485658,0.030503306349669225
potatoes),0.0019332483171234987,
pumpkin,0.0027618028862053806,0.0037206475930435076
pumpkins,0.0029578949563849747,0.006166385977986475
rabe,0.001089216206217168,
radish,0.004594032481762605,0.004236123805498001
radishes,0.004717962296469105,0.014563857881062145
rapeseed,0.001089216206217168,
raspberries,0.00117338912340835,0.006166385977986475
rhubarb,,0.00909090909090909
rosemary,0.001824872401281606,0.003799602031368419
roses,0.009440840687086876,0.004105038302626558
runner or pole beans,,0.004234811977279606
rutabagas,0.0019500144808093807,0.007695201785932133
rye-grass,0.001089216206217168,
sage,0.001403018329234065,0.007806815216599552
salads,0.001089216206217168,
shallots,0.001089216206217168,
silverbeet,0.001089216206217168,
snap beans,0.001089216206217168,
snapdragons,0.001089216206217168,
sorghum,0.001089216206217168,0.004618994626440565
southernwood,0.0011199158110928027,
sow thistle,0.001089216206217168,
soybean,0.005172482535789387,
soybeans,0.011115417267387837,0.004183442444824952
soybeans etc.),0.001089216206217168,
spearmint,0.0011199158110928027,
spinach,0.008895059663927144,
spurrey,0.001089216206217168,
squash,0.004548555071008917,0.006166385977986475
squash eggplant,0.0017401434587167833,
stinging nettle,0.0011199158110928027,
stone fruits,,0.004105038302626558
strawberries,0.004646274382511743,0.04192708716094972
strawberries. green onions with chinese cabbage.,0.0021735607811501343,
such as celery,0.001089216206217168,
sudan grass,0.001089216206217168,
sudan grasscitation needed,0.001089216206217168,
summer savory,0.0011199158110928027,
sunflowers,0.0024826234333375687,0.008900010914924253
swan plant,0.0016390871330685503,
sweet pea,0.008272287347624927,
sweet potato,0.01274138084972028,
sweet potatoes,0.012764047526797459,0.004618994626440565
swiss chard,,0.00909090909090909
tansy,0.001089216206217168,
tarragon,0.0011199158110928027,
thyme,0.001555774100181978,0.005549947240573748
tobacco,,0.0041126049654180395
tomato,0.0014318183568914013,0.006793173966373655
tomatoes,0.050111753930110345,0.0487250142558919
turnip,0.0016187137740312023,
turnips,0.002051277618438702,0.007695201785932133
turnips and rutabagas,0.0019273478037322028,0.007695201785932133
valerian,0.0011949940325773317,
vetch,0.0011985600628595444,
walnut,,0.009715666130397985
wheat,0.004560578409113567,
wheat),0.0045298788042379325,
white geranium,0.001089216206217168,
wormwood,0.0011199158110928027,
yarrow,0.0011199158110928027,
zinnia,0.001089216206217168,
zucchini,0.0012088024764896235,
